id,name,city,category,cashback,taksits,taksit_condition,address,map_lat,map_lng,parent_id
337,MUM SEIKO,Bakı,Aksessuar mağazası,0,"3, 6",Faizsiz,"Bakı şəh., Səbayıl r-nu, T.Xəlilbəyli küç., ev 5",40.374715,49.834126,0
338,CASIO,Bakı,Aksessuar mağazası,0,"3, 6",Faizsiz,"Bakı şəh., Nəsimi r-nu, 28 May küç., 18",40.376286,49.847194,0
339,Wentto Electronics 2,Bakı,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18, 24",Faizsiz,"Bakı şəh., Nəsimi r-nu, Ş.Qurbanov küç. 13",40.3763526,49.8464218,359
340,Wentto Electronics,Bakı,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18, 24",Faizsiz,"Bakı şəh., Yasamal r-nu, H.Cavid pr. 556-57",40.3757503,49.8134265,0
341,Wentto Electronics 3,Bakı,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18, 24",Faizsiz,"Bakı şəh., Yasamal r-nu, Şərifzadə küç., 148",40.4017712,49.8000732,359
342,Wentto Electronics 4,Bakı,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18, 24",Faizsiz,"Bakı şəh., Yasamal r-nu, Zahid Xəlilov küç., 593",40.3751969,49.809756,359
343,La Parfumerie,Bakı,Parfümeriya və kosmetika,0,"3, 6",Faizsiz,"Bakı şəh., Yasamal r-nu, Hüseyn Cavid pr. ev19",40.369046,49.826437,0
344,La Parfumerie Azadlıq,Bakı,Parfümeriya və kosmetika,0,"3, 6",Faizsiz,"Bakı şəh., Nərimanov r. Azadlıq pr. ev151A",40.367174,49.816840,362
345,La Parfumerie Nəsimi,Bakı,Parfümeriya və kosmetika,0,"3, 6",Faizsiz,"Bakı şəh., Nəsimi r-nu, Nizami ev 83",40.384344,49.823463,362
346,Vintaj,Bakı,Hədiyyə  və aksesuar mağazası,0,"3, 6, 12, 18",Faizsiz,"Bakı şəh., Səbail ray., Əbdülkərim Əlizadə küç., ev 11",40.342414,49.840303,0
347,Altın Yıldız,Bakı,Geyim mağazası,0,"2, 3, 6",Faizsiz,"Bakı şəh.,Neftçilər pr. Park Bulvar TM",40.375377,49.859282,0
348,TISSOT,Bakı,Aksessuar mağazası,0,"3, 6",Faizsiz,"Bakı şəh., Səbayıl r-nu, T.Əliyarbəyov küç., ev 9",40.367574,49.838039,0
349,TISSOT 28,Bakı,Aksessuar mağazası,0,"3, 6",Faizsiz,"Bakı şəh., Nəsimi r-nu, 28 May küç., ev 18",40.377437,49.850620,368
350,My Phone,Bakı,Mobil telefon və aksessuar,0,"3, 6, 12, 18",Faizsiz,"Bakı şəh., Nəsimi r-nu, Füzuli küç., 79/37",40.3770709,49.8351052,0
351,Baku Holiday Travel,Bakı,Səyahət şirkəti,0,3,Faizsiz,"Bakı şəh., R.Rza küç., 75",40.3850882,49.8284801,0
352,iTicket,Bakı,Bilet satışı,"2.5%, 4%, 7%, 10%","3, 6, 12, 18",Kart sahibindən tutulur,"Bakı şəh., Səməd Vurğun küç., 34",40.376428,49.841162,0
353,iTicket 1,Bakı,Bilet satışı,"2.5%, 4%, 7%, 10%","3, 6, 12, 18",Kart sahibindən tutulur,"Bakı şəh., Ak Həsən Əliyev küç., 36",40.399034,49.835011,372
354,iTicket 2,Bakı,Bilet satışı,"2.5%, 4%, 7%, 10%","3, 6, 12, 18",Kart sahibindən tutulur,"Bakı şəh., F.X.Xoyski pr., 830, Gənclik mall TM",40.400294,49.852968,372
355,iTicket 3,Bakı,Bilet satışı,"2.5%, 4%, 7%, 10%","3, 6, 12, 18",Kart sahibindən tutulur,"Bakı şəh., Azadlıq pr., 107",40.379468,49.846318,372
356,iTicket 4,Bakı,Bilet satışı,"2.5%, 4%, 7%, 10%","3, 6, 12, 18",Kart sahibindən tutulur,"Bakı şəh., Nefçilər pr., 153",40.375780,49.860069,372
357,iTicket 5,Bakı,Bilet satışı,"2.5%, 4%, 7%, 10%","3, 6, 12, 18",Kart sahibindən tutulur,"Bakı şəh., Nefçilər pr., Park Bulvar TM",40.371042,49.849800,372
358,iTicket 6,Bakı,Bilet satışı,"2.5%, 4%, 7%, 10%","3, 6, 12, 18",Kart sahibindən tutulur,"Bakı şəh., İçərişəhər İstiqlaliyyət küçəsi",40.364507,49.831272,372
359,iTicket 7,Bakı,Bilet satışı,"2.5%, 4%, 7%, 10%","3, 6, 12, 18",Kart sahibindən tutulur,"Bakı şəh., Məmməd Əmin Rəsulzadə küç.",40.424845,49.837187,372
360,Raymond Weil,Bakı,Aksessuar mağazası,0,"3, 6",Faizsiz,"Bakı şəh., Yasamal r-nu, İnşaatçılar pr., 30",40.381441,49.822272,0
361,NYX PM,Bakı,Parfümeriya və kosmetika,0,"3, 6",Faizsiz,"Bakı şəh., Nərimanov rayonu, Fətəlixan Xoyski pr., ev 830-835-ci məhəllə, Gənclik Mall TM",40.40049,49.85202,0
362,NYX PM,Bakı,Parfümeriya və kosmetika,0,"3, 6",Faizsiz,"Bakı şəh., Nəsimi rayonu, Azadlıq pr. ev. 45, 28 Mall TM",40.37945,49.84732,394
363,Gallery,Bakı,Gül mağazası,0,"3, 6",Faizsiz,"Bakı şəh., Yasamal r-nu, Cəfər Cabbarlı küç., ev 38",40.372029,49.816709,0
364,Longiness,Bakı,Aksessuar mağazası,0,"3, 6",Faizsiz,"Bakı şəh., 28 May küç., 6",40.377437,49.850620,0
365,Geox 2,Bakı,Ayaqqabı mağazası,0,3,Faizsiz,"Bakı şəh., Səbail r-nu,Üzeyir Hacıbəyov küç., 4/3",40.3710368,49.8386531,399
366,Geox,Bakı,Ayaqqabı mağazası,0,3,Faizsiz,"Bakı şəh., Nəsimi r-nu, Azadlıq pr., Füzuli küçəsinin kəsişməsi, məhəllə 720",40.379091,49.846771,0
367,Camel Active,Bakı,Geyim mağazası,0,3,Faizsiz,"Bakı şəh., Səbail r-nu, Üzeyir Hacıbəyov küç., ev. 16",40.371452,49.842387,0
368,Ecco,Bakı,Ayaqqabı mağazası,0,3,Faizsiz,"Bakı şəh., Səbail r-nu, Üzeyir Hacıbəyov küç., ev. 2, m. 1, 2",40.370990,49.840365,0
369,Trussardi,Bakı,Geyim mağazası,0,3,Faizsiz,"Bakı şəh., Səbail r-nu, Ə.Əliyev küç.",40.367090,49.837906,0
370,Salamander,Bakı,Ayaqqabı mağazası,0,3,Faizsiz,"Bakı şəh., Nəsimi r-nu, Nizami ev. 77/9 m",40.372745,49.839528,0
371,Braccialini,Bakı,Çanta,0,3,Faizsiz,"Bakı şəh., Yasamal r-nu, Hüseyn Cavid pr. ev. 21, məhəllə 250",40.368409,49.816571,0
372,Swatch,Bakı,Aksessuar mağazası,0,"3, 6, 9, 12, 18",Faizsiz,"Bakı şəhəri, 28 May küçəsi, 20/39",40.37682,49.84798,0
373,Swatch,Bakı,Aksessuar mağazası,0,"3, 6",Faizsiz,"Bakı şəhəri, Yasamal rayonu, İnşaatçılar prospekti 30",40.380454,49.821429,405
374,Music Gallery Gənclik filialı,Bakı,Məişət avadanlığı və elektronika,0,"2, 3, 6, 9, 12, 18, 24",Faizsiz,"Bakı şəh.,Nərimanov r-nu.,Fətəli Xan Xoyski küçəsi 112A",40.4194699,49.8334909,411
375,Music Gallery 28 Mall filialı,Bakı,Məişət avadanlığı və elektronika,0,"2, 3, 6, 9, 12, 18, 24",Faizsiz,"Bakı şəh.,Nəsimi r-nu, Füzuli küçəsi 28, Mall Ticarət Mərkəzi",40.379091,49.846771,411
376,Music Gallery İnqilab filialı,Bakı,Məişət avadanlığı və elektronika,0,"2, 3, 6, 9, 12, 18, 24",Faizsiz,"Bakı şəh.,Nəsimi r-nu, Azadlıq prospekti 114",40.3978025,49.8369032,411
