id,name,category,category_id,cashback_percent,taksit_months,detail_url,image_url
1733,Skechers,İdman və Sağlamlıq,185,,"1, 2, 3, 6, 12, 18, 24",https://unibank.az/az/cards/partner/1733,https://unibank.az/uploads/items/imp-xwZWprSVjbgAYKs6a7XtbNW8C3sW8W.jpg
1735,Escarpini,Ayaqqabı mağazaları,170,,"3, 6",https://unibank.az/az/cards/partner/1735,https://unibank.az/uploads/items/noImageGifts.png
1745,Coincasa,Digər,167,,"3, 6, 12",https://unibank.az/az/cards/partner/1745,https://unibank.az/uploads/items/imp-MsWm4a2mDQFbXHwCYmG4AVk7M8yS4Y.jpg
1746,Antaris,Dəftərxana ləvazimatları,176,,"3, 6, 12",https://unibank.az/az/cards/partner/1746,https://unibank.az/uploads/items/imp-bSJYts5SGHec9DZpEWDNAc2p86jyv3.jpeg
1747,Super Toys,Uşaq üçün,174,,"3, 6, 12, 18",https://unibank.az/az/cards/partner/1747,https://unibank.az/uploads/items/imp-pxtxTNqRwTxRKkTUMu7nQmaFNUrD2a.png
1753,Hippo,Uşaq üçün,174,,"3, 6, 12",https://unibank.az/az/cards/partner/1753,https://unibank.az/uploads/items/noImageGifts.png
1759,Avto Sistem,Avto,181,,"3, 6, 12, 18",https://unibank.az/az/cards/partner/1759,https://unibank.az/uploads/items/imp-dpzGKVRtAcYQEVaWWkhDdvg3G3bGby.PNG
1796,iSpace,Texnika və Kompüterlər,168,,"3, 6, 12, 18, 24",https://unibank.az/az/cards/partner/1796,https://unibank.az/uploads/items/3849-Group 1950.png
1805,Samsung,Texnika və Kompüterlər,168,,"3, 6, 12, 18",https://unibank.az/az/cards/partner/1805,https://unibank.az/uploads/items/imp-WJwa6V9B6SXPV6x5fgv3hWhskcksAz.jpeg
1812,Ballı,Digər,167,,"3, 6",https://unibank.az/az/cards/partner/1812,https://unibank.az/uploads/items/imp-KHYq7VzwUjP6uQszrqn4dp7K8sReA5.jpeg
1813,Əcəmi Mall,Kişi geyimləri,186,,"3, 6, 12",https://unibank.az/az/cards/partner/1813,https://unibank.az/uploads/items/noImageGifts.png
1822,Music Gallery,Texnika və Kompüterlər,168,,"3, 6, 12, 18, 24",https://unibank.az/az/cards/partner/1822,https://unibank.az/uploads/items/imp-ahShudH6Dgs8753twkdYFsSxzcYAtm.png
1824,Calvin Klein,Geyim,165,,"3, 6",https://unibank.az/az/cards/partner/1824,https://unibank.az/uploads/items/imp-29XEC9c3TY99v9YUHjGnVzcvT5M6zA.jfif
1829,Optimal təkər mərkəzi,Avto,181,,"3, 6, 12",https://unibank.az/az/cards/partner/1829,https://unibank.az/uploads/items/imp-AeRSKGhjfS9vnfWVn5GvaTY7sPV7Rz.png
1830,Bytelecom,Texnika və Kompüterlər,168,,"3, 6, 12, 18, 24",https://unibank.az/az/cards/partner/1830,https://unibank.az/uploads/items/9755-bytelecom logo 1.png
1831,iSpace service,Texnika və Kompüterlər,168,,"3, 6, 12",https://unibank.az/az/cards/partner/1831,https://unibank.az/uploads/items/6716-ispace-1 (1).png
1833,Avocado,Kosmetika,173,,"3, 6, 12",https://unibank.az/az/cards/partner/1833,https://unibank.az/uploads/items/imp-Sd3bEKEUQEdDhydWJZPzsQGm5YzTKV.jpeg
1834,NYX,Kosmetika,173,,"3, 6",https://unibank.az/az/cards/partner/1834,https://unibank.az/uploads/items/303-nyx.png
1843,Eurolux,Texnika və Kompüterlər,168,,"3, 6, 12, 18",https://unibank.az/az/cards/partner/1843,https://unibank.az/uploads/items/6072-eurolux.png
1846,Sezam.az,Supermarketlər,164,,"3, 6, 12, 18",https://unibank.az/az/cards/partner/1846,https://unibank.az/uploads/items/imp-rbAapXuuB437TpQg9B3wqcKVVjknjg.png
1853,Piramida Group,Digər,167,,"3, 6",https://unibank.az/az/cards/partner/1853,https://unibank.az/uploads/items/imp-WQ4G2WxkV5x5Qa5hWHhd5FM2A8nYTX.jpg
1857,Eskarpini,Ayaqqabı mağazaları,170,,"3, 6",https://unibank.az/az/cards/partner/1857,https://unibank.az/uploads/items/imp-nTRRxUQe2WDk62ufgXvKrSj5jjAnr3.jpeg
1873,Mi Zone,Texnika və Kompüterlər,168,,"3, 6, 12, 18",https://unibank.az/az/cards/partner/1873,https://unibank.az/uploads/items/imp-G2TRFSCbMwpdHhfqP73EYDh9Y6GHGz.png
1894,www.termogas.az,İnternet mağazalar,184,,"3, 6, 12",https://unibank.az/az/cards/partner/1894,https://unibank.az/uploads/items/noImageGifts.png
1905,Murat Accessories,Aksesuarlar,166,,"3, 6",https://unibank.az/az/cards/partner/1905,https://unibank.az/uploads/items/imp-ugjktAmF7VqSfaXEN8rfvu6C6StVMS.jpg
1907,Mayoral,Uşaq üçün,174,,3,https://unibank.az/az/cards/partner/1907,https://unibank.az/uploads/items/imp-sRq7fDNbnknC2gTpX4eNEhDd7RB9q2.jpg
1911,Smart Electronics,Texnika və Kompüterlər,168,,"3, 6, 12, 18, 24",https://unibank.az/az/cards/partner/1911,https://unibank.az/uploads/items/4679-smart.png
1913,Narıncı  Cosmetics & Accesiories,Kosmetika,173,,"3, 6",https://unibank.az/az/cards/partner/1913,https://unibank.az/uploads/items/imp-vjDEthAhRRH5FQPVvjkJ9kP7w99kKS.png
1914,Hybrid Avto,Avto,181,,"3, 6, 12",https://unibank.az/az/cards/partner/1914,https://unibank.az/uploads/items/noImageGifts.png
1932,Techno Home,Texnika və Kompüterlər,168,,"3, 6, 12, 18, 24",https://unibank.az/az/cards/partner/1932,https://unibank.az/uploads/items/imp-sh8rW53d4vHAJTsP3tdzgUA9CJKmS7.jpg
1934,Hair Market,Gözəllik salonları,180,,"3, 6",https://unibank.az/az/cards/partner/1934,https://unibank.az/uploads/items/imp-wgVh3yy64hAyfZcx4D3ZAuYbQRenwu.jpg
1940,Avtotəkər,Avto,181,,"3, 6, 12, 18",https://unibank.az/az/cards/partner/1940,https://unibank.az/uploads/items/imp-E629JUnbbecN87X8NUq86QCWW7EwRb.jpg
