id,name,slug,cashback,birbonus,umico_bonus,categories,cities,installments,max_taksit_month,payment_methods,is_bnpl,has_barcode,phone,website,instagram,facebook,voen,image_url,order,created_at,updated_at,published_at
18165,Supertoys,supertoys,,,,Uşaqlar üçün,,3; 6; 9,,,,,,,https://www.instagram.com/supertoysaz/,,1005376651,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_4648f584dd.png,31,2023-10-19T19:02:58.651Z,2026-02-03T07:17:34.046Z,2023-10-19T19:03:05.738Z
18036,KIGILI,kigili,2,2,,Geyim,,2; 3; 6,,,,,,,https://www.instagram.com/kigili.azerbaijan/,,2601730951,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/LOGO_KIGILI_39250a6dc5.jpg,32,2023-10-19T11:21:35.981Z,2025-05-21T11:21:42.381Z,2023-10-19T11:23:25.711Z
17989,Calliope,calliope,,,,Geyim,,2,,,,,,,https://www.instagram.com/calliope.azerbaijan,,1000143741,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_bc646be78f.png,33,2023-10-19T08:33:33.579Z,2025-12-16T13:11:11.942Z,2023-10-19T08:33:35.397Z
17987,Terranova,terranova,,,,Geyim,,2,,,,,,,https://www.instagram.com/terranova_azerbaijan/ ,,1000143741,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_b68e842a3e.png,34,2023-10-19T08:26:58.954Z,2026-01-23T12:56:34.202Z,2023-10-19T08:28:01.921Z
17986,New Yorker,new-yorker,,,,Geyim,,2,,,,,,,,,1000143741,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_e80029a8c5.png,35,2023-10-19T08:23:59.352Z,2025-12-16T13:10:48.711Z,2023-10-19T08:24:10.489Z
18032,Massimo Dutti,massimo-dutti,,,,Geyim,,2,,,,,,,https://www.instagram.com/cenomi.azerbaijan/,,1701241381,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_dc43f6724e.png,36,2023-10-19T11:15:50.790Z,2026-01-09T08:17:53.218Z,2023-10-19T11:15:52.378Z
17985,MANGO,mango,,,,Geyim,,2,,,,,,,https://www.instagram.com/mangogirl.aze/ ,https://www.facebook.com/mango.com/,1000143741,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_86bb14ca96.png,38,2023-10-19T08:17:10.222Z,2026-01-14T13:33:48.287Z,2023-10-19T08:17:14.731Z
17983,Soliton,soliton,,,,Elektronika və Texnika,,2; 3; 6; 9; 12,,,,,,https://www.soliton.az/ ,https://www.instagram.com/soliton_magazalari/,,1400216331,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_bfccba6e2c.png,39,2023-10-19T08:09:44.821Z,2026-01-21T12:12:15.042Z,2023-10-19T08:11:21.365Z
17982,FLO.,flo-1,,,,Ayaqqabı və çanta,,2; 3; 6,,,,,,https://www.flostore.az/,https://www.instagram.com/floshoes.az/,,1700118872,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_fb4e98b55e.png,40,2023-10-19T07:55:45.812Z,2025-12-12T08:00:00.469Z,2023-10-19T07:55:47.370Z
18026,Kiko Milano,kiko-milano,,,,Parfümeriya və Kosmetika,,2,,,,,,,https://www.instagram.com/cenomi.azerbaijan/,,1701230651,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_8757fd8903.png,41,2023-10-19T11:02:09.100Z,2025-12-30T12:36:53.170Z,2023-10-19T11:02:10.883Z
17980,Penti,penti,,,,Geyim,,2; 3,,,,,,,https://www.instagram.com/penti_azerbaijan/,https://www.facebook.com/pentiazerbaijan,1502989081,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_705ad728f8.png,42,2023-10-19T07:53:18.898Z,2026-01-15T11:26:21.627Z,2023-10-19T07:53:21.644Z
18024,Jysk.,j-1,,,,Ev aksessuarları,,2; 3; 6,,,True,,,https://jysk.az/ ,https://www.instagram.com/jyskaz/ ,,1007539701,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_968c7ce7f3.png,43,2023-10-19T10:56:36.747Z,2025-12-30T12:23:35.347Z,2023-10-19T10:56:50.556Z
17976,INTIMISSIMI,intimissimi,,,,Geyim,,3,,,,,,,https://www.instagram.com/intimissimi_calzedonia_az/?hl=en ,,1303682601,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_cd5fbf317b.png,44,2023-10-19T07:44:48.346Z,2025-12-29T13:57:13.802Z,2023-10-19T07:45:22.118Z
17971,Calzedonia,calzedonia,,,,Geyim,,3,,,,,,,https://www.instagram.com/intimissimi_calzedonia_az/?hl=en,,1303682601,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_a8344ffab6.png,46,2023-10-19T07:38:58.950Z,2025-05-21T11:36:53.311Z,2023-10-19T07:39:00.473Z
18149,AVVA,a-3,,,,Geyim,,6,,,,,,,https://www.instagram.com/avva_azerbaijan/?hl=en,,1604142081,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_79b012fde1.png,47,2023-10-19T18:16:42.130Z,2025-07-04T06:47:48.808Z,2023-10-19T18:16:44.383Z
17972,CASİO WATCH STORE,cas-1,,,,Saat və aksesuarlar,,2; 3; 6,,,,,,,https://www.instagram.com/casio_watches_azerbaijan/,,2008504112,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_6acbe9eb68.png,48,2023-10-19T07:40:06.309Z,2025-11-18T11:50:05.897Z,2023-10-19T07:40:07.633Z
18015,Greenwich,g-1,,,,Saat və aksesuarlar,,2; 3,,,,,,,,,1501183001,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_46dcadcae9.png,49,2023-10-19T10:26:15.614Z,2025-09-10T08:27:37.455Z,2023-10-19T10:26:17.827Z
17966,Bershka,bershka,,,,Geyim,,2,,,,,,,https://www.instagram.com/cenomi.azerbaijan/,,1701233021,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_d30200ae46.png,50,2023-10-19T07:30:52.236Z,2025-12-16T08:15:24.085Z,2023-10-19T07:30:53.496Z
18140,Skechers,skechers,,,,İdman malları,,2; 3; 6; 12,,,,,,,https://www.instagram.com/skechers.official.az/,https://www.facebook.com/Skechers.az,1402773251,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_5238e67380.png,51,2023-10-19T17:43:24.804Z,2025-12-16T10:51:19.157Z,2023-10-19T17:43:26.912Z
17964,LC Waikiki,lc-waikiki,,,,Geyim,,2; 3,,,,,,,https://www.instagram.com/lcwaikikiaz/,https://www.facebook.com/LCWaikikiAzerbaycan,1502989081,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_e3f5c11de9.png,52,2023-10-19T07:28:25.026Z,2025-05-22T06:33:51.245Z,2023-10-19T07:28:27.755Z
