id,name_az,name_en,name_ru,description_az,description_en,description_ru,phone_number,site_url,cashback,category_id,category_az,category_en,category_ru,social_medias,cities_count,taksits,icon_url,logo_url,status,order_number,is_new,at_home,popularity,hidden,insert_date,branches_count,home_no,whatsapp_link
6233,Xəzəroğlu Mebel,Xəzəroğlu Mebel,Xəzəroğlu Mebel,,,,(070) 206 12 34,,0.0,188,Mebel,Mebel,Mebel,,1,1; 3; 6,,,True,253,False,,3,False,,0,,
6234,X-Lady,X-Lady,X-Lady,,,,(010) 450 10 50,,0.0,181,Geyim,Geyim,Geyim,facebook: https://www.facebook.com/xladyboutique/; instagram:https://www.instagram.com/xlady_official/?hl=en,1,1; 3; 6,,,True,254,False,,3,False,,0,,
6235,X-Man,X-Man,X-Man,,,,(055) 460 10 50 ,,0.0,181,Geyim,Geyim,Geyim,,1,1; 3; 6,,,True,255,False,,3,False,,0,,
6237,Iatm,Iatm,Iatm,,,,(070) 905 22 40,,0.0,206,Digər,Digər,Digər,,1,1,,,True,257,False,,3,False,,0,,
6238,Icon Çanta,Icon Çanta,Icon Çanta,,,,(055) 802 69 47,,0.0,187,Saat və aksessuarlar,Saat və aksessuarlar,Saat və aksessuarlar,,1,1; 3; 6,,,True,258,False,,3,False,,0,,
6239,Ideal,Ideal,Ideal,,,,(051) 548 96 18,,0.0,181,Geyim,Geyim,Geyim,,1,1; 3; 6,,,True,259,False,,3,False,,0,,
6240,Implant-Dent,Implant-Dent,Implant-Dent,,,,(012) 440 46 96,,0.0,186,Tibb və Sağlamlıq,Tibb və Sağlamlıq,Tibb və Sağlamlıq,,1,1; 3; 6; 12,,,True,260,False,,3,False,,0,,
6241,Ispace,Ispace,Ispace,,,,(050) 776 00 15,,0.0,182,Elektronika,Elektronika,Elektronika,,1,1; 2; 3; 6; 12; 18; 24,,,True,261,False,,3,False,,0,,
6242,Italtherm,Italtherm,Italtherm,,,,"(012) 449 45 49 , (099) 717 03 33",,0.0,195,Təmir və tikinti,Təmir və tikinti,Təmir və tikinti,,1,1; 3; 6; 12; 18,,,True,262,False,,3,False,,0,,
6243,ITT Net,ITT Net,ITT Net,,,,(070) 556 60 72,,0.0,203,İstirahət və əyləncə,İstirahət və əyləncə,İstirahət və əyləncə,,1,1,,,True,263,False,,3,False,,0,,
6244,Iz Electronics,Iz Electronics,Iz Electronics,,,,"(055) 203 62 60 , (055) 363 19 22",,0.0,182,Elektronika,Elektronika,Elektronika,,1,1; 3; 6; 12,,,True,264,False,,3,False,,0,,
6245,Izolatexe,Izolatexe,Izolatexe,,,,(050) 411 74 62 ,,0.0,195,Təmir və tikinti,Təmir və tikinti,Təmir və tikinti,,1,1; 3; 6,,,True,265,False,,3,False,,0,,
6246,İlkin Kids,İlkin Kids,İlkin Kids,,,,(055) 609 59 00,,0.0,198,Uşaqlar üçün,Uşaqlar üçün,Uşaqlar üçün,,1,1,,,True,266,False,,3,False,,0,,
